###  Translation from RTF performed by UnRTF, version 0.21.9 

TITLE: 
### creation date: 18 December 2018 07:17 
### font table contains 2 fonts total

-----------------

	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Barbados	Current Health Expenditure (CHE) per Capita in US$		605	623	671	788	923	944	1,009	1,025	1,118	1,146	1,098
	Belize	Current Health Expenditure (CHE) per Capita in US$		133	145	137	157	157	166	174	198	208	226	250
	Bolivia Plurinational States of 	Current Health Expenditure (CHE) per Capita in US$		44	46	44	47	47	52	57	64	79	90	101
	Brazil	Current Health Expenditure (CHE) per Capita in US$		245	212	231	240	292	393	488	605	713	722	1,091
	Canada	Current Health Expenditure (CHE) per Capita in US$		1,999	2,054	2,151	2,552	2,913	3,283	3,710	4,125	4,389	4,291	4,985
	Chile	Current Health Expenditure (CHE) per Capita in US$		359	329	324	351	429	502	572	650	727	738	871
	Colombia	Current Health Expenditure (CHE) per Capita in US$		135	133	126	128	142	187	214	270	328	329	391


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Costa Rica	Current Health Expenditure (CHE) per Capita in US$		251	259	280	292	295	314	366	430	519	538	665
	Cuba	Current Health Expenditure (CHE) per Capita in US$		180	198	213	227	231	331	386	569	608	674	607
	Dominica	Current Health Expenditure (CHE) per Capita in US$		245	255	255	258	269	270	289	319	354	395	387
	Dominican Republic	Current Health Expenditure (CHE) per Capita in US$		137	141	145	100	105	167	162	194	234	250	300
	Ecuador	Current Health Expenditure (CHE) per Capita in US$		48	71	97	132	150	169	191	211	249	274	332
	El Salvador	Current Health Expenditure (CHE) per Capita in US$		182	185	185	186	192	204	205	209	218	230	240
	Grenada	Current Health Expenditure (CHE) per Capita in US$		261	274	304	301	299	356	394	416	447	442	449


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Guatemala	Current Health Expenditure (CHE) per Capita in US$		84	101	108	114	121	132	148	158	174	166	172
	Guyana	Current Health Expenditure (CHE) per Capita in US$		41	43	47	51	53	59	78	94	107	125	141
	Haiti	Current Health Expenditure (CHE) per Capita in US$		30	27	22	18	23	25	29	37	40	41	55
	Honduras	Current Health Expenditure (CHE) per Capita in US$		71	70	74	81	86	102	117	131	151	161	167
	Jamaica	Current Health Expenditure (CHE) per Capita in US$		196	181	175	158	196	182	194	236	256	214	235
	Mexico	Current Health Expenditure (CHE) per Capita in US$		310	354	375	401	435	472	501	543	528	450	519
	Nicaragua	Current Health Expenditure (CHE) per Capita in US$		53	54	54	49	59	65	70	87	100	105	99


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Panama	Current Health Expenditure (CHE) per Capita in US$		286	281	292	288	326	305	350	427	490	531	580
	Paraguay	Current Health Expenditure (CHE) per Capita in US$		89	78	54	58	70	75	96	124	168	161	201
	Peru	Current Health Expenditure (CHE) per Capita in US$		90	98	106	112	117	124	142	159	189	207	239
	Saint Kitts and Nevis	Current Health Expenditure (CHE) per Capita in US$		445	438	459	471	475	532	652	664	820	805	789
	Saint Lucia	Current Health Expenditure (CHE) per Capita in US$		283	288	304	322	312	337	403	446	445	410	456
	Saint Vincent and the Grenadines	Current Health Expenditure (CHE) per Capita in US$		136	146	157	157	163	169	175	199	214	222	234
	Suriname	Current Health Expenditure (CHE) per Capita in US$		169	112	188	205	253	290	346	339	393	428	461


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Trinidad and Tobago	Current Health Expenditure (CHE) per Capita in US$		277	284	338	374	450	553	593	696	784	810	862
	United States of America	Current Health Expenditure (CHE) per Capita in US$		4,560	4,911	5,328	5,737	6,100	6,451	6,819	7,175	7,420	7,699	7,958
	Uruguay	Current Health Expenditure (CHE) per Capita in US$		688	669	430	378	371	440	501	576	741	808	1,024
	Venezuela (Bolivarian Republic of)	Current Health Expenditure (CHE) per Capita in US$		239	266	186	169	210	263	349	480	643	803	830
	Afghanistan	Current Health Expenditure (CHE) per Capita in US$				16	17	21	24	28	32	39	42	46
	Bahrain	Current Health Expenditure (CHE) per Capita in US$		486	485	503	567	550	570	591	693	758	785	796
	Djibouti	Current Health Expenditure (CHE) per Capita in US$		32	31	40	46	40	41	47	50	54	55	55


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Egypt	Current Health Expenditure (CHE) per Capita in US$		73	72	67	53	53	63	70	78	96	105	111
	Iran	Current Health Expenditure (CHE) per Capita in US$		80	94	105	115	141	173	198	246	299	368	441
	Iraq	Current Health Expenditure (CHE) per Capita in US$					28	54	54	57	97	130	163	145
	Jordan	Current Health Expenditure (CHE) per Capita in US$		160	171	175	172	186	195	204	229	296	332	309
	Kuwait	Current Health Expenditure (CHE) per Capita in US$		463	597	635	713	742	844	963	977	1,074	1,455	1,061
	Lebanon	Current Health Expenditure (CHE) per Capita in US$		570	546	496	456	438	407	470	520	554	593	659
	Libya	Current Health Expenditure (CHE) per Capita in US$		245	254	181	190	202	212	235	276	322	356	401


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Morocco	Current Health Expenditure (CHE) per Capita in US$		54	56	63	79	93	97	110	137	155	170	169
	Oman	Current Health Expenditure (CHE) per Capita in US$		264	261	274	288	301	320	333	383	444	475	529
	Pakistan	Current Health Expenditure (CHE) per Capita in US$		16	14	16	15	16	21	26	30	27	25	27
	Qatar	Current Health Expenditure (CHE) per Capita in US$		602	658	737	1,206	1,286	1,323	1,328	1,322	1,328	1,321	1,258
	Saudi Arabia	Current Health Expenditure (CHE) per Capita in US$		384	386	368	381	399	469	554	586	595	691	703
	Sudan	Current Health Expenditure (CHE) per Capita in US$		17	19	21	28	37	47	70	104	107	111	109
	Syria	Current Health Expenditure (CHE) per Capita in US$		54	58	64	61	62	64	66	76	88	92	94


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Tunisia	Current Health Expenditure (CHE) per Capita in US$		112	115	126	151	170	172	181	205	233	234	244
	United Arab Emirates	Current Health Expenditure (CHE) per Capita in US$		782	772	851	879	890	915	985	1,095	1,340	1,339	1,359
	Yemen	Current Health Expenditure (CHE) per Capita in US$		25	26	27	35	38	42	50	58	69	65	68
	Albania	Current Health Expenditure (CHE) per Capita in US$		76	82	90	114	152	166	173	216	240	207	203
	Andorra	Current Health Expenditure (CHE) per Capita in US$		2,051	2,081	2,256	2,774	3,161	3,536	3,690	4,095	4,202	3,912	3,755
	Armenia	Current Health Expenditure (CHE) per Capita in US$		41	45	45	52	98	116	121	171	174	140	169
	Austria	Current Health Expenditure (CHE) per Capita in US$		2,263	2,281	2,486	3,084	3,588	3,709	3,880	4,473	5,037	4,909	4,796


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Azerbaijan	Current Health Expenditure (CHE) per Capita in US$		25	26	28	52	75	115	140	179	221	267	288
	Belarus	Current Health Expenditure (CHE) per Capita in US$		57	74	87	109	142	197	222	279	350	289	342
	Belgium	Current Health Expenditure (CHE) per Capita in US$		1,845	1,878	2,075	2,786	3,230	3,325	3,455	3,962	4,508	4,504	4,390
	Bosnia and Herzegovina	Current Health Expenditure (CHE) per Capita in US$		113	112	127	180	243	262	302	387	482	424	416
	Bulgaria	Current Health Expenditure (CHE) per Capita in US$		94	120	148	196	233	268	294	361	456	459	485
	Croatia	Current Health Expenditure (CHE) per Capita in US$		371	389	387	512	635	727	816	1,041	1,259	1,188	1,126
	Cyprus	Current Health Expenditure (CHE) per Capita in US$		751	783	891	1,124	1,258	1,328	1,432	1,642	2,157	2,105	1,959


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Czech Republic	Current Health Expenditure (CHE) per Capita in US$		343	389	498	641	746	853	942	1,110	1,449	1,442	1,374
	Denmark	Current Health Expenditure (CHE) per Capita in US$		2,496	2,603	2,896	3,607	4,195	4,443	4,779	5,468	6,138	6,222	6,012
	Estonia	Current Health Expenditure (CHE) per Capita in US$		210	215	250	349	450	511	618	832	1,039	963	926
	Finland	Current Health Expenditure (CHE) per Capita in US$		1,654	1,736	1,970	2,508	2,925	3,109	3,284	3,772	4,312	4,176	4,096
	France	Current Health Expenditure (CHE) per Capita in US$		2,156	2,191	2,438	3,000	3,452	3,574	3,798	4,294	4,775	4,706	4,576
	Georgia	Current Health Expenditure (CHE) per Capita in US$		48	51	59	72	94	119	137	177	256	247	263
	Germany	Current Health Expenditure (CHE) per Capita in US$		2,332	2,339	2,550	3,137	3,442	3,546	3,683	4,166	4,635	4,642	4,597


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Greece	Current Health Expenditure (CHE) per Capita in US$		885	1,004	1,163	1,516	1,744	2,032	2,227	2,615	3,007	2,816	2,574
	Hungary	Current Health Expenditure (CHE) per Capita in US$		313	360	473	683	798	895	893	1,003	1,117	944	983
	Iceland	Current Health Expenditure (CHE) per Capita in US$		2,888	2,553	3,078	3,948	4,506	5,238	5,069	6,036	4,874	3,655	3,676
	Ireland	Current Health Expenditure (CHE) per Capita in US$		1,561	1,822	2,190	2,904	3,477	3,937	4,143	4,852	5,616	5,481	5,128
	Israel	Current Health Expenditure (CHE) per Capita in US$		1,497	1,542	1,388	1,418	1,472	1,538	1,581	1,786	2,129	2,024	2,218
	Italy	Current Health Expenditure (CHE) per Capita in US$		1,520	1,585	1,754	2,158	2,561	2,676	2,830	3,088	3,490	3,324	3,215
	Kazakhstan	Current Health Expenditure (CHE) per Capita in US$		51	51	59	75	112	143	175	179	253	249	246


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Kyrgyzstan	Current Health Expenditure (CHE) per Capita in US$		12	13	15	22	27	36	46	51	64	61	61
	Latvia	Current Health Expenditure (CHE) per Capita in US$		182	205	237	281	393	441	552	807	914	745	689
	Lithuania	Current Health Expenditure (CHE) per Capita in US$		217	219	254	339	367	439	536	704	936	865	805
	Luxembourg	Current Health Expenditure (CHE) per Capita in US$		2,894	3,106	3,583	4,596	5,601	5,817	6,066	6,662	7,548	7,640	7,452
	Malta	Current Health Expenditure (CHE) per Capita in US$		641	682	831	1,075	1,224	1,381	1,476	1,596	1,752	1,677	1,733
	Monaco	Current Health Expenditure (CHE) per Capita in US$		1,411	1,436	1,569	2,230	2,585	2,633	2,690	2,989	3,477	3,398	3,370
	Montenegro	Current Health Expenditure (CHE) per Capita in US$												


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Netherlands	Current Health Expenditure (CHE) per Capita in US$		1,836	1,985	2,299	2,987	3,410	3,858	4,085	4,740	5,428	5,327	5,249
	Norway	Current Health Expenditure (CHE) per Capita in US$		2,949	3,099	3,890	4,633	5,097	5,585	5,893	6,896	7,768	7,302	7,860
	Poland	Current Health Expenditure (CHE) per Capita in US$		238	283	316	339	392	466	524	661	893	760	809
	Portugal	Current Health Expenditure (CHE) per Capita in US$		967	989	1,105	1,406	1,679	1,773	1,813	2,067	2,322	2,279	2,213
	Republic of Moldova	Current Health Expenditure (CHE) per Capita in US$		21	25	34	38	65	79	100	135	186	209	198
	Romania	Current Health Expenditure (CHE) per Capita in US$		70	79	97	144	191	255	291	415	521	449	472
	Russian Federation	Current Health Expenditure (CHE) per Capita in US$		95	118	141	165	209	272	353	462	610	517	567


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	San Marino	Current Health Expenditure (CHE) per Capita in US$		2,044	2,072	2,113	2,354	2,953	3,018	3,190	3,726	4,306	4,177	3,974
	Serbia	Current Health Expenditure (CHE) per Capita in US$		57	112	173	230	274	308	372	547	673	576	545
	Slovakia	Current Health Expenditure (CHE) per Capita in US$		204	212	254	344	519	601	729	1,029	1,252	1,315	1,295
	Slovenia	Current Health Expenditure (CHE) per Capita in US$		797	826	945	1,203	1,369	1,449	1,542	1,794	2,171	2,117	2,015
	Spain	Current Health Expenditure (CHE) per Capita in US$		1,003	1,044	1,169	1,633	1,915	2,052	2,228	2,589	2,968	2,914	2,778
	Sweden	Current Health Expenditure (CHE) per Capita in US$		2,173	2,170	2,477	3,134	3,513	3,574	3,789	4,322	4,653	4,152	4,437
	Switzerland	Current Health Expenditure (CHE) per Capita in US$		3,738	3,957	4,421	5,277	5,890	5,965	5,901	6,402	7,411	7,599	8,022


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Tajikistan	Current Health Expenditure (CHE) per Capita in US$		6	8	8	11	15	18	20	29	42	39	42
	The former Yugoslav Republic of Macedonia	Current Health Expenditure (CHE) per Capita in US$		164	152	175	217	232	234	246	266	315	297	305
	Turkey	Current Health Expenditure (CHE) per Capita in US$		200	154	187	239	300	365	417	513	571	500	539
	Turkmenistan	Current Health Expenditure (CHE) per Capita in US$		77	124	132	209	319	345	374	282	255	194	222
	Ukraine	Current Health Expenditure (CHE) per Capita in US$		35	45	53	69	85	116	148	186	216	168	207
	United Kingdom	Current Health Expenditure (CHE) per Capita in US$		1,674	1,739	1,966	2,347	2,828	3,010	3,255	3,741	3,606	3,275	3,309
	Uzbekistan	Current Health Expenditure (CHE) per Capita in US$		30	26	20	21	23	27	32	40	51	62	72


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Bangladesh	Current Health Expenditure (CHE) per Capita in US$		8	8	9	10	11	11	12	14	15	17	20
	Bhutan	Current Health Expenditure (CHE) per Capita in US$		32	37	37	38	47	47	54	64	56	58	70
	India	Current Health Expenditure (CHE) per Capita in US$		19	20	20	22	25	28	30	36	38	38	45
	Indonesia	Current Health Expenditure (CHE) per Capita in US$		16	18	20	27	27	35	46	58	62	65	92
	Maldives	Current Health Expenditure (CHE) per Capita in US$		221	230	247	236	296	322	387	462	755	668	603
	Myanmar	Current Health Expenditure (CHE) per Capita in US$		3	3	5	5	5	5	6	7	10	14	15
	Nepal	Current Health Expenditure (CHE) per Capita in US$		9	11	11	11	13	15	14	18	19	21	30


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Sri Lanka	Current Health Expenditure (CHE) per Capita in US$		44	41	43	42	51	57	65	74	93	101	109
	Thailand	Current Health Expenditure (CHE) per Capita in US$		62	57	70	77	83	91	104	127	151	152	172
	Timor-Leste	Current Health Expenditure (CHE) per Capita in US$				13	14	19	24	26	29	42	49	51
	Australia	Current Health Expenditure (CHE) per Capita in US$		1,632	1,558	1,764	2,241	2,758	3,004	3,177	3,794	4,089	3,998	4,953
	Brunei Darussalam	Current Health Expenditure (CHE) per Capita in US$		508	465	473	535	619	646	655	703	789	742	803
	Cambodia	Current Health Expenditure (CHE) per Capita in US$		20	23	25	25	29	32	33	31	49	56	54
	China	Current Health Expenditure (CHE) per Capita in US$		42	44	49	56	64	72	82	98	133	164	188


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Cook Islands	Current Health Expenditure (CHE) per Capita in US$		163	184	221	271	331	386	352	429	402	400	478
	Fiji	Current Health Expenditure (CHE) per Capita in US$		77	64	73	91	118	129	136	151	144	129	135
	Japan	Current Health Expenditure (CHE) per Capita in US$		2,740	2,480	2,404	2,642	2,876	2,883	2,754	2,772	3,213	3,686	4,060
	Kiribati	Current Health Expenditure (CHE) per Capita in US$		69	91	98	108	140	140	135	157	201	177	140
	Lao People's Democratic Republic	Current Health Expenditure (CHE) per Capita in US$		14	15	13	18	17	18	20	25	27	36	35
	Malaysia	Current Health Expenditure (CHE) per Capita in US$		111	115	122	143	155	164	204	234	271	251	293
	Marshall Islands	Current Health Expenditure (CHE) per Capita in US$		535	472	457	463	545	697	758	661	637	611	607


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Micronesia (Federated States of)	Current Health Expenditure (CHE) per Capita in US$		168	189	178	219	235	271	256	271	299	338	371
	Mongolia	Current Health Expenditure (CHE) per Capita in US$		29	27	34	27	33	38	45	59	85	67	89
	Nauru	Current Health Expenditure (CHE) per Capita in US$		292	270	294	344	317	327	362	589	814	566	650
	New Zealand	Current Health Expenditure (CHE) per Capita in US$		1,054	1,049	1,246	1,611	1,984	2,295	2,302	2,699	2,839	2,701	3,216
	Niue	Current Health Expenditure (CHE) per Capita in US$		318	1,445	467	649	837	823	3,500	1,224	1,543	1,544	1,288
	Palau	Current Health Expenditure (CHE) per Capita in US$		676	639	668	705	889	868	913	955	925	932	1,038
	Papua New Guinea	Current Health Expenditure (CHE) per Capita in US$		19	20	21	22	26	28	31	35	37	39	42


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Philippines	Current Health Expenditure (CHE) per Capita in US$		33	28	27	32	34	47	55	66	77	79	92
	Republic of Korea	Current Health Expenditure (CHE) per Capita in US$		474	523	558	658	732	902	1,084	1,241	1,162	1,117	1,378
	Samoa	Current Health Expenditure (CHE) per Capita in US$		63	59	76	86	109	126	138	153	163	179	193
	Singapore	Current Health Expenditure (CHE) per Capita in US$		821	707	752	829	829	863	946	1,085	1,275	1,319	1,502
	Solomon Islands	Current Health Expenditure (CHE) per Capita in US$		50	64	59	56	68	93	91	92	97	91	94
	Tonga	Current Health Expenditure (CHE) per Capita in US$		58	60	69	74	110	117	159	144	204	127	178
	Tuvalu	Current Health Expenditure (CHE) per Capita in US$		358	271	217	287	228	241	292	292	312	330	477


	Countries	Indicators		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
				Value	Value	Value	Value	Value	Value	Value	Value	Value	Value	Value
	Vanuatu	Current Health Expenditure (CHE) per Capita in US$		49	46	55	55	63	62	68	73	82	84	100
	Viet Nam	Current Health Expenditure (CHE) per Capita in US$		19	23	20	22	29	35	42	49	59	64	78


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Algeria	Current Health Expenditure (CHE) per Capita in US$		286	334	330	358	291	260
	Angola	Current Health Expenditure (CHE) per Capita in US$		122	122	144	132	109	95
	Benin	Current Health Expenditure (CHE) per Capita in US$		35	39	36	34	31	30
	Botswana	Current Health Expenditure (CHE) per Capita in US$		471	499	378	398	389	380
	Burkina Faso	Current Health Expenditure (CHE) per Capita in US$		35	33	43	40	34	41
	Burundi	Current Health Expenditure (CHE) per Capita in US$		25	22	22	16	14	18
	Cameroon	Current Health Expenditure (CHE) per Capita in US$		49	63	67	71	64	64


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Cabo Verde Republic of	Current Health Expenditure (CHE) per Capita in US$		158	172	187	187	159	159
	Central African Republic	Current Health Expenditure (CHE) per Capita in US$		19	19	16	18	22	16
	Chad	Current Health Expenditure (CHE) per Capita in US$		39	35	47	47	36	32
	Comoros	Current Health Expenditure (CHE) per Capita in US$		79	65	69	69	58	59
	Congo	Current Health Expenditure (CHE) per Capita in US$		61	73	73	72	58	70
	Côte d'Ivoire	Current Health Expenditure (CHE) per Capita in US$		73	75	72	79	75	68
	Democratic Republic of the Congo	Current Health Expenditure (CHE) per Capita in US$		13	14	16	19	20	21


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Equatorial Guinea	Current Health Expenditure (CHE) per Capita in US$		289	311	349	338	280	281
	Eritrea	Current Health Expenditure (CHE) per Capita in US$		25	20	22	24	27	30
	Ethiopia	Current Health Expenditure (CHE) per Capita in US$		15	21	20	22	25	28
	Gabon	Current Health Expenditure (CHE) per Capita in US$		274	237	275	245	198	220
	Gambia	Current Health Expenditure (CHE) per Capita in US$		32	31	30	23	22	21
	Ghana	Current Health Expenditure (CHE) per Capita in US$		99	90	111	82	82	68
	Guinea	Current Health Expenditure (CHE) per Capita in US$		23	23	25	36	42	37


	Countries	Indicators		2011	2012	2013	2014	2015	2016
				Value	Value	Value	Value	Value	Value
	Guinea-Bissau	Current Health Expenditure (CHE) per Capita in US$		37	29	30	41	38	39
